2022-07-23/09:20:51		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:21:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:21:15		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:21:39		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:21:56		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:25		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-07-23/09:22:36		 wafer_21012020_080913.csv: File loaded successfully!!
